Date,Open,High,Low,Close,Adj Close,Volume
1962-02-01,6.978967,7.151052,6.781389,6.845124,1.609144,6087720
1962-03-01,6.870618,7.087317,6.759082,6.790950,1.596626,5687625
1962-04-01,6.787763,6.787763,5.736138,5.787126,1.360616,13516935
1962-05-01,5.787126,6.242830,4.525175,5.003187,1.176303,51659325
1962-06-01,4.984066,4.984066,3.824092,4.324410,1.016876,71679765
1962-07-01,4.324410,5.015934,4.314850,4.933078,1.160003,43014135
1962-08-01,4.920331,5.286807,4.722753,5.050988,1.187730,43351470
1962-09-01,5.050988,5.117909,4.442320,4.506055,1.059799,34800420
1962-10-01,4.506055,4.738687,4.104525,4.410453,1.037314,45014610
1962-11-01,4.410453,5.121096,4.359465,5.079669,1.194710,38424810
1962-12-01,5.028681,5.175271,4.862970,4.971319,1.169471,22978005
1963-01-01,4.971319,5.411090,4.898024,5.401530,1.270675,29920830
1963-02-01,5.401530,5.415870,5.086042,5.095602,1.198709,13854270
1963-03-01,5.095602,5.395156,5.063735,5.366475,1.262731,12771660
1963-04-01,5.366475,6.048438,5.321861,5.911409,1.390953,19118265
1963-05-01,5.911409,6.099426,5.831740,6.083493,1.431445,11987160
1963-06-01,6.083493,6.102613,5.506692,5.560867,1.308756,13516935
1963-07-01,5.560867,5.710644,5.420650,5.538560,1.303507,17596335
1963-08-01,5.538560,5.857234,5.481198,5.669216,1.334257,14591700
1963-09-01,5.677183,5.978330,5.677183,5.761632,1.356317,19008435
1963-10-01,5.761632,6.395793,5.717017,6.297004,1.482346,25629615
1963-11-01,6.297004,6.319312,5.876354,6.185468,1.456090,13140375
1963-12-01,6.220523,6.494583,6.035692,6.462715,1.521745,13697370
1964-01-01,6.500956,7.227533,6.469089,6.908859,1.626795,23401635
1964-02-01,6.908859,7.348630,6.806883,7.253027,1.707836,11900865
1964-03-01,7.253027,7.578075,7.087317,7.574888,1.784035,12340185
1964-04-01,7.584449,7.667304,7.268961,7.268961,1.711984,13446330
1964-05-01,7.278521,7.871256,7.278521,7.648184,1.801296,11055174
1964-06-01,7.648184,7.703952,7.345443,7.600382,1.790495,9049992
1964-07-01,7.628266,7.839388,7.329509,7.361377,1.734191,9734076
1964-08-01,7.361377,7.361377,6.779796,7.018802,1.653487,12112680
1964-09-01,7.018802,7.106437,6.564691,6.955067,1.638917,12382548
1964-10-01,6.955067,6.955067,6.612492,6.692161,1.576965,7970520
1964-11-01,6.688177,6.923199,6.572658,6.572658,1.548805,8886816
1964-12-01,6.556724,6.660293,6.485022,6.524857,1.537999,8792676
1965-01-01,6.524857,7.170172,6.437221,7.146272,1.684476,11842812
1965-02-01,7.130338,7.283700,6.771829,7.261791,1.711705,8334528
1965-03-01,7.261791,7.480880,7.138305,7.237890,1.706646,7568856
1965-04-01,7.249841,7.727852,7.249841,7.727852,1.822175,6721596
1965-05-01,7.711918,7.831421,7.329509,7.616316,1.795876,5981028
1965-06-01,7.584449,7.608349,6.971001,7.297642,1.721269,15175368
1965-07-01,7.297642,7.632250,7.249841,7.632250,1.800192,8303148
1965-08-01,7.632250,8.028601,7.556565,7.950924,1.875356,9809388
1965-09-01,7.950924,8.241714,7.934990,8.166029,1.926699,7619064
1965-10-01,8.138145,8.492670,8.018642,8.492670,2.003767,7405680
1965-11-01,8.492670,8.827279,8.317400,8.365201,1.973692,4788588
1965-12-01,8.365201,8.409018,7.875239,7.950924,1.876475,13537332
1966-01-01,7.927024,8.181963,7.520714,7.903123,1.865194,13254912
1966-02-01,7.903123,8.361217,7.775653,8.205864,1.936642,8403564
1966-03-01,8.205864,8.365201,7.879222,8.221797,1.940983,9583452
1966-04-01,8.221797,8.954748,8.189930,8.883047,2.097088,7675548
1966-05-01,8.883047,8.938815,8.221797,8.669933,2.046778,10993460
1966-06-01,8.520554,8.759560,7.946941,8.377151,1.978249,14392960
1966-07-01,8.418977,8.640057,8.144120,8.144120,1.923219,6309472
1966-08-01,8.144120,8.383126,7.319551,7.660134,1.808927,10916056
1966-09-01,7.660134,8.090344,7.325526,7.588432,1.792570,10506024
1966-10-01,7.588432,8.003705,6.919216,7.934990,1.874435,12070840
1966-11-01,7.991754,9.010516,7.991754,8.986616,2.122854,10539496
1966-12-01,8.986616,9.225621,8.675908,8.879063,2.098118,7296896
1967-01-01,8.879063,9.703633,8.663958,9.548279,2.256253,11129440
1967-02-01,9.416826,10.402725,9.333174,10.277247,2.428507,7070960
1967-03-01,10.336998,11.018164,10.325048,10.779159,2.547813,7376392
1967-04-01,10.695507,11.926386,10.444551,11.866635,2.804852,8606488
1967-05-01,11.591778,11.591778,10.946463,11.143642,2.633964,8506072
1967-06-01,11.143642,12.213193,11.077916,11.890535,2.811123,10062520
1967-07-01,11.890535,12.177342,11.663480,12.135516,2.869042,6535408
1967-08-01,12.135516,12.296845,11.597753,11.944312,2.823835,5895256
1967-09-01,11.944312,13.324570,11.914436,13.103489,3.098556,7384760
1967-10-01,13.097514,14.352294,12.930210,14.184990,3.354297,6974728
